trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-15 21:03:56,node-t-8821,3f6a4067c247439fb4bb95bd01ab1cb7,f14163bd00e79596e83ac273bd41895f79ae01871cb220d30cc23068f650a53f,True,12513814FD1C4A9773192C7E29165890A5808357A893C71BFDB3D213EC231F58,10907.518,4759.344,15666.862,4819.278,117291894,0,1200000,164123,2026-03-15T12:03:49Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-15 21:04:33,node-t-8821,ceb0eb0023d64f04a72edb87dca00135,a982975d98d6cfc3a8d8889e46c5b1e95151bf2ea76c8c22055c429dc6016237,True,8E3F8E8BE07E48B4A9207F517C138B25A4129C723F441D24E7D177634EACC22A,10842.573,4692.279,15534.852,4696.959,117291956,0,1200000,164123,2026-03-15T12:04:27Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,88.701,65.633,False,False,False,False,,
3,2026-03-15 21:05:12,node-t-8821,29a41dd0e47542aaba4a4910439d099b,a1b5531a0dd23610a1ac2ceec39261c12fb06b83b5e142d4c191eaa62172bddd,True,3FB90A2736536532058191F9B5A9FB0C761B34B803183182A3215BEBFA566480,11261.469,4692.857,15954.325,5194.674,117292018,0,1200000,164123,2026-03-15T12:05:05Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-15 21:06:38,node-t-8821,c3287623e0bc43859043227103635d9b,d13ec3d99e396805f1cb683f711affe6a1f7766483006657bb1b5e093b4bbb02,False,,59235.464,4721.402,63956.867,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,86.337,109.039,False,False,True,False,post,emulated timeout
5,2026-03-15 21:07:16,node-t-8821,8d9bc72a49a4496084cd30c2259ecd5c,5836dc8ef326492ef8c33213276669f06e973c17126e7a584a940b4bd28046af,True,DF68D96142C7B7E59706722FAD0C9FC67AF3DC4B75B25CF868152DFE1552879D,11243.532,4740.76,15984.292,5211.606,117292221,0,1200000,164123,2026-03-15T12:07:10Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,71.534,49.223,False,False,False,False,,
6,2026-03-15 21:07:54,node-t-8821,16b22a0acebd4243ad262ba8959697f3,c875f0225320eb5358bce553ff8621255d3f6346ac3a78ba5c4229e30ec41eab,True,B2C8AD66CD15048B30AD8FE1B1D0500EC1D9E9D9E089F158611B3BEEDD988D3D,11199.854,4698.006,15897.86,5102.137,117292282,0,1200000,164123,2026-03-15T12:07:48Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-15 21:08:32,node-t-8821,3cbdf5da265a4a06b3b014369771f7e9,b5e567e371bae32a86bd14a2ff05d2693f7295b49906541c36da6ea965aea45a,True,C2C91F847B6A60CF1268C4665AF19F7D9552E6F5F24F24DA4D67236FAE182D88,10930.339,4696.316,15626.656,4898.578,117292343,0,1200000,164123,2026-03-15T12:08:25Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-15 21:09:10,node-t-8821,a0303cb1997f4a5cae1b9d784e0f5d8d,a6fec6d666c66d825816a262cc4557d62c6afd83fc6ef8aabdcd29e76852227e,True,6442BF60C93645253957EAFFEA98FB74C6F5D2A13BF71B18B28B0E72EAD5BED3,11043.18,4693.786,15736.965,4985.551,117292405,0,1200000,164123,2026-03-15T12:09:04Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-15 21:09:48,node-t-8821,fcf1b05364ca4b7c9c56fc503b12fd67,41adb170239eb35a22e5b18e5d8ec4027a2c254b339736a2a3391b1d5d9903f6,True,322966F801444037C4A35CDC4862B81718289790ABCC36EE317C86524B82C004,10977.059,4696.874,15673.933,4856.878,117292467,0,1200000,164123,2026-03-15T12:09:42Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-15 21:10:26,node-t-8821,37831d1664274cb3936a292d242bcb7a,102be7341f1081e256b2a57e98cf743bd548920e762ac4b052dabf6443fb0e62,True,C785BE2C9AE7157A6F1C18852F5B14C2BDAE7D2C7FFA354BCDAE68F406FF6529,11093.269,4694.337,15787.607,4926.351,117292528,0,1200000,164123,2026-03-15T12:10:19Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,97.436,86.143,False,False,False,False,,
11,2026-03-15 21:11:04,node-t-8821,745663015f9646d2bf148f5f2ad805dc,a3370c600d3424b5d0a27cdd8001991bea91c17308b632bfa18b0b3325f05caa,True,3656561185A66635D7EE3EE5B728DC972895541EB2CCBE665B3DF4DF70317F12,10847.461,4752.932,15600.392,4727.308,117292590,0,1200000,164123,2026-03-15T12:10:57Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,85.018,93.96,False,False,False,False,,
12,2026-03-15 21:11:42,node-t-8821,9780e54e7c2846c0ab4801cec9fdc3fa,d67c841b860e4da72ffd62b1c0c177341a92a5d54ab8582b04a75c83fef6c621,True,A2FE259F395642DC600234969FD9B04DA149F420211EC34BFE2194B3838140FE,10790.188,4698.554,15488.742,4637.459,117292651,0,1200000,164123,2026-03-15T12:11:35Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,100.696,112.085,False,False,False,False,,
13,2026-03-15 21:12:20,node-t-8821,8633dc01860a4d9cafa4254b58cd5d59,27b2243b2f029beba91984689b7223bca6e84002a50d41631e9d8640fc7e2f87,True,1CD17C655E4872EFB19189D67000392F0E4BD03844D01B86EDB430D7AAAAF5F3,11108.486,4743.189,15851.674,5058.075,117292714,0,1200000,164123,2026-03-15T12:12:13Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,57.195,45.947,False,False,False,False,,
14,2026-03-15 21:12:58,node-t-8821,529762ab90f44ecf980364dfc7a00e42,113659eeb5b3763e81574b732b6cf27a0a9137de9ac398723354a3ad8694e0fd,True,20BF2ADADA29B03DE7BAB7EDE644210D51BE6C7578FE1C678E8678C375B0977B,11034.806,4692.528,15727.334,4868.486,117292775,0,1200000,164123,2026-03-15T12:12:51Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,80.485,79.948,False,False,False,False,,
15,2026-03-15 21:13:36,node-t-8821,3d78c4e6736e4f18b3a971026adacb65,fcab3e4a07dc26257fbb7207736ff86f83a9eb92a9bf8491d9fdf10866c1d3e7,True,F435F4C846AC5203698A488A19F122BDF4ACEC439E2187BB01AF7FE252110A60,11101.916,4734.035,15835.951,4994.896,117292837,0,1200000,164123,2026-03-15T12:13:29Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,132.213,53.244,False,False,False,False,,
16,2026-03-15 21:14:14,node-t-8821,621faafa7d3a4edc81f9aae7b832ddb3,bd58d0f0f5ab0fa057b85949a21252514bdc2c381f3d1d26dd8fd43ea5563704,True,7747CF6967EA3FDBA489D50065E22B3AF0EC5624C18EA17F01FB729D88AC4F51,11050.038,4747.406,15797.445,4933.061,117292899,0,1200000,164123,2026-03-15T12:14:08Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,105.75,57.396,False,False,False,False,,
17,2026-03-15 21:14:52,node-t-8821,27eaf87253da4558944d57295d49f1b0,65400b6c0214c2184dec45308ec8243fe7ac7f7ffcc9c0257b06862825d9b051,True,4CCA77212E5CF867312F42C8D7673DC707D6CD3B35166279AE99027687177261,10797.217,4746.869,15544.085,4688.089,117292960,0,1200000,164123,2026-03-15T12:14:45Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,76.647,109.319,False,False,False,False,,
18,2026-03-15 21:15:30,node-t-8821,0573f1a4fffb4a0ba35ff73d00f00adb,408b3178d79236c10c8e4ab63a84bb6d5f06428feb08893d25f685ec59b14e82,True,5609A73B4F150519F02637A65FB91C6250EA92DDC0CADF5B883BDA0268C13EF4,10883.719,4695.525,15579.244,4818.184,117293022,0,1200000,164123,2026-03-15T12:15:24Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,112.384,72.477,False,False,False,False,,
19,2026-03-15 21:16:08,node-t-8821,580f8b5d6f014341b2dd467b577f8bf8,e724dd788ba9f0d39648b0a1cbcede162d9c11f87525f00401ee082020d93fe8,True,9708104D95FEC26A2AF782ED4C4CA35AE652ED5891CA44F4F54922F649D39FA3,11069.928,4746.835,15816.763,5080.613,117293083,0,1200000,164123,2026-03-15T12:16:01Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,45.632,37.995,False,False,False,False,,
20,2026-03-15 21:16:46,node-t-8821,4a1760649c844337b51576df10c5ccd2,7051885ca16c69b40fa73bcdd4efc837392c1ca09886780dbfcfe8fe8b2c138b,True,19A27759931404E01A45BA77708488BD099F573E2B19C554A90AD374B21995DE,11015.602,4724.928,15740.53,4893.812,117293146,0,1200000,164123,2026-03-15T12:16:39Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,113.303,72.162,False,False,False,False,,
21,2026-03-15 21:17:25,node-t-8821,81740b02b3384e1a8457340d3f2daa58,8417b83454ee2825c381a4c8cf0365e42a77f2b820cc4092830d754198369362,True,633AD729E6ED1EBE645E7D546F5F56E5707468DF1AB2ACDEAC23E5B3211F31EC,11414.179,4694.213,16108.392,5402.078,117293208,0,1200000,164123,2026-03-15T12:17:17Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-normal,outdoor-normal,42,140.0,55.0,256.0,1024.0,0.005,0.01,0.001,3.0,8.0,306,382,71.951,32.075,False,False,False,False,,
