trial,local_time,node_id,qr_id,unique_id,tx_ok,txhash,txhash_ms,display_ms,total_ms,broadcast_ms_node,height,code,gasWanted,gasUsed,timestamp_chain,sender,contract,network,value_len,subprocess_returncode,error_type,error,stderr,net_emulation,net_profile_source,net_profile_name,net_seed,net_base_rtt_ms,net_jitter_ms,net_uplink_kbps,net_downlink_kbps,net_loss_prob,net_timeout_prob,net_outage_prob_per_call,net_outage_duration_min_s,net_outage_duration_max_s,net_tx_bytes,net_rx_bytes,net_pre_delay_ms,net_post_delay_ms,net_outage_active,net_outage_started,net_timeout_injected,net_loss_injected,net_stage,net_note
1,2026-03-16 03:45:14,node-t-8821,aa0ec41c020c4940a00edac272a20f88,49f8d4f69ec80605d772ffd81200569b04bfcfb4ed6f40ac60352bcc74d8556e,True,B2AFBD6CED992B83B2A6F46B26479B4EA3B4D2EB416D77861469D2296CDB0657,11168.178,4695.369,15863.547,5032.157,117331010,0,1200000,164123,2026-03-15T18:45:07Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,101.346,76.436,False,False,False,False,,
2,2026-03-16 03:46:40,node-t-8821,ab91203c04b44e0ca1fd744fa56a4e36,1990f77f5b8bb67f71a88edf7d608740e1e8fe388e63f00b0544a45199d6d6ef,False,,59599.091,4677.5,64276.591,,,,,,,,,,242,0,EmulatedTimeout,emulated timeout,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,88.701,65.633,False,False,True,False,post,emulated timeout
3,2026-03-16 03:47:18,node-t-8821,a59ec844b1834592a2d0a4217c625380,f9c62364b75f76d2932e584cba7eb0894b7f85f3ac443cbd15e1c08891ac0de7,True,F03FB7F8E4FC5F006719228DBF6C87C71DE1E7516DCD78307BB2EF7681E3088F,11123.08,4691.098,15814.178,5017.138,117331214,0,1200000,164123,2026-03-15T18:47:12Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,73.188,72.77,False,False,False,False,,
4,2026-03-16 03:47:56,node-t-8821,e36134522db8452c97cdb20226e74c8b,6d561df664e44e7fbdb4382dcc6dfcdefb3891790b69a45bd341063edb689dee,False,,10974.948,4673.078,15648.027,,,,,,,,,,242,0,EmulatedNetworkError,emulated packet loss / connection failure,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,86.337,109.039,False,False,False,True,post,emulated packet loss / connection failure
5,2026-03-16 03:48:34,node-t-8821,7051b42a98df46e4a8baeee011835b0d,2bc4fbd990fc451211e6fc34a2426bd2c31be8f419935a4c6dd81ccc1004290b,True,8F5E420DC9369E5275896D029A5F6CCD0735DAF6C0AC0A1776EF6699AA57317A,11164.147,4691.727,15855.873,5147.29,117331337,0,1200000,164123,2026-03-15T18:48:28Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,381,71.534,49.216,False,False,False,False,,
6,2026-03-16 03:49:12,node-t-8821,a43635e15f7c4948b9cfdb60a4a93388,7ef65e1997d1af456a2fa932720e2294e4a14dabdec0caf868bb90ecc5780531,True,C2F73950865C3A29BFA77105D52BC13038007D289ED01FA83ABCC3B7DD71CA08,10993.064,4689.345,15682.408,4910.383,117331400,0,1200000,164123,2026-03-15T18:49:07Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,89.919,79.81,False,False,False,False,,
7,2026-03-16 03:49:51,node-t-8821,3d01f1a790ad4308a2408dda06413749,b9c3af4ca6002ac485b9405f24ffaccc2c4bb3e2bf9ebfa68ed641aebed42c99,True,FA3F81C73C81824E905F8BED05D86478F36A48EFCBC19B74D0F186A4259191E7,11138.833,4690.223,15829.056,5150.604,117331461,0,1200000,164123,2026-03-15T18:49:44Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,75.233,39.17,False,False,False,False,,
8,2026-03-16 03:50:29,node-t-8821,770876128ba9480f94a1080677706e7e,c67a269c8527428cb14fdd3ba513727cb7c1fe41b6a3c24f0c8120afb2279faa,True,66EC595D47FB1BBEBEFA2F927FF818F699F39A8F4AFA6457F5DEC58B9056B8C9,11018.201,4751.713,15769.913,4965.249,117331523,0,1200000,164123,2026-03-15T18:50:22Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.83,39.46,False,False,False,False,,
9,2026-03-16 03:51:06,node-t-8821,1a743ba017634dcfb8d0af973ebd5f75,8e6267e0cc5b0655b601459a92740072728b409c73fd948aa83d1b2ab2c3ecf0,True,DA2F77E9B6E6A0B16A00B1F28CD240BF128FD6A223D164E668FE58EE8D802052,10746.061,4694.186,15440.247,4640.842,117331584,0,1200000,164123,2026-03-15T18:51:00Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,98.527,78.601,False,False,False,False,,
10,2026-03-16 03:51:44,node-t-8821,7916be14879549e69d146e6c626f8b12,0d650f43b6e21c8765fb1175c686236ba037a142a6e39bdd6be20b8522852ab9,True,6846E9E725440AB1EB3D875A1F61E8FD68B67E3AA234ADF8E047EF17778D78C9,10725.348,4690.772,15416.12,4599.965,117331645,0,1200000,164123,2026-03-15T18:51:38Z,inj16vq0wz6864spzg6rdl6rps07cg0cw5wdhfrhtc,inj13dufe27veajqdxvev8az88xgmksgl3vcszw4ft,testnet,242,0,,,,1,name:outdoor-outage-heavy,outdoor-outage-heavy,42,140.0,55.0,256.0,1024.0,0.01,0.02,0.01,5.0,15.0,306,382,97.436,86.143,False,False,False,False,,
